term_ru,term_en,context,notes,tier
3 контекста стиля жизни,Three Lifestyle Development Contexts,personal development model,learning beyond formal education; pending_review=true,3
Dual-mode setup script,Dual-mode setup script,Environment configuration,SETUP_CI flag support; pending_review=true,3
Headless-адаптер,Headless adapter,Agent inbox runtime,IWE dispatcher implementation; pending_review=true,3
bearer-заголовок как третий auth-mode,Bearer Header Authentication Mode,authentication protocol extension,backward-compatible multi-channel auth; pending_review=true,3
Авто-триггер субагент-ревью,Auto-trigger sub-agent review,CI section creation,IWE-specific automation; pending_review=true,3
Агрегат,Aggregate,DDD tactical patterns,Core DDD term,2
Адаптер Claude Code,Claude Code adapter,Reference implementation,IWE component mapping; pending_review=true,3
Антикоррупционный слой,Anti-Corruption Layer,DDD integration patterns,Abbrev. ACL common,2
Артефакт,Artifact,systems engineering deliverable or output,"Also spelled ""artefact"" (British)",2
Архитектура,Architecture,system and software design structure,Standard SE/DDD term,2
Атрофия мышления при ежедневной работе с ИИ,Cognitive Atrophy With Daily AI Use,professional development risk,IWE-specific cognitive concern; pending_review=true,3
Аудит,Audit,Audit process,,1
Блокирующее правило,Blocking rule,Mandatory rule,,1
Бэклог,Backlog,agile product/sprint planning,straightforward,2
Верификация,Verification,QA and requirements validation,distinct from Validation,2
Веха,Milestone,marking key project checkpoint,standard PM term,2
Диагностика устаревания ЦД,Digital twin staleness diagnosis,State verification,IWE-specific freshness check; pending_review=true,3
Дисциплина,Discipline,Engineering methodology / IWE,Standard methodology term,2
Дисциплинированный,Disciplined,describing rigorous engineering practice,adj; also rigorous in some contexts,2
Дорожная карта,Roadmap,strategic planning timeline document,compound noun; no hyphen preferred,2
Заинтересованная сторона,Stakeholder,requirements and systems engineering,Standard SE/BABOK term,2
Закрытие,Closing,ORZ Closing phase,,1
Замена терминологии,Multi-pass terminology replacement,Semantic consistency,IWE-specific peer verification; pending_review=true,3
Знание,Knowledge,learning and knowledge management,cognitive domain,2
Интеграция,Integration,system or service integration,straightforward,2
Интерфейс,Interface,system boundary and integration design,Standard technical term,2
Инфраструктура,Infrastructure,deployment and operational environment,Standard DevOps/SE term,2
Инцидент,Incident,unplanned event disrupting service,ITIL/SRE standard term,2
Исполнитель роли,Role Performer,IWE / organizational modeling,Also Actor in some frameworks,2
Итерация,Iteration,agile development cycle unit,standard agile term,2
Карта контекстов,Context Map,DDD strategic design,Core DDD term,2
Карта роста созидателя,Creator Growth Map,professional development framework,3×2 matrix plus contextual factors; pending_review=true,3
